Date,Open,High,Low,Close,Volume,Adj. Close
1998-11-06,1.352679,1.366071,1.330357,1.359375,199334800,0.916703
1998-11-09,1.345982,1.361607,1.267857,1.308036,165197200,0.882082
1998-11-10,1.292411,1.294643,1.25,1.254464,220995600,0.845956
1998-11-11,1.276786,1.279018,1.169643,1.198661,237126400,0.808324
1998-11-12,1.183036,1.229911,1.174107,1.214286,148775200,0.818861
1998-11-13,1.247768,1.287946,1.238839,1.274554,197954400,0.859503
1998-11-16,1.283482,1.3125,1.265625,1.285714,96132400,0.867029
1998-11-17,1.276786,1.279018,1.241071,1.243304,52682000,0.83843
1998-11-18,1.256696,1.285714,1.245536,1.265625,82415200,0.853482
1998-11-19,1.267857,1.328125,1.265625,1.276786,86632000,0.861008
1998-11-20,1.301339,1.3125,1.241071,1.261161,99806000,0.850471
1998-11-23,1.270089,1.314732,1.256696,1.294643,144488400,0.87305
1998-11-24,1.290179,1.3125,1.276786,1.283482,79937200,0.865524
1998-11-25,1.28125,1.287946,1.247768,1.254464,75950000,0.845956
1998-11-27,1.252232,1.254464,1.241071,1.252232,38276000,0.844451
1998-11-30,1.234375,1.243304,1.133929,1.140625,140372400,0.769187
1998-12-01,1.142857,1.243304,1.129464,1.21875,216434400,0.821872
1998-12-02,1.21875,1.316964,1.196429,1.285714,240620800,0.867029
1998-12-03,1.296875,1.303571,1.200893,1.203125,156511600,0.811335
1998-12-04,1.225446,1.229911,1.142857,1.169643,180342400,0.788756
1998-12-07,1.191964,1.205357,1.169643,1.205357,141649200,0.81284
1998-12-08,1.212054,1.212054,1.142857,1.145089,170027200,0.772198
1998-12-09,1.167411,1.174107,1.129464,1.142857,148229200,0.770693
1998-12-10,1.167411,1.176339,1.138393,1.142857,97812400,0.770693
1998-12-11,1.151786,1.214286,1.142857,1.205357,172499600,0.81284
1998-12-14,1.174107,1.189732,1.151786,1.160714,125361600,0.782735
1998-12-15,1.169643,1.200893,1.169643,1.198661,66178000,0.808324
1998-12-16,1.205357,1.220982,1.165179,1.171875,93587200,0.790261
1998-12-17,1.176339,1.205357,1.169643,1.194196,82653200,0.805314
1998-12-18,1.191964,1.263393,1.1875,1.256696,197873200,0.847461
1998-12-21,1.263393,1.272321,1.223214,1.252232,89362000,0.844451
1998-12-22,1.299107,1.361607,1.285714,1.357143,287700000,0.915198
1998-12-23,1.379464,1.446429,1.370536,1.421875,308758800,0.95885
1998-12-24,1.424107,1.428571,1.399554,1.401786,49996800,0.945303
1998-12-28,1.392857,1.46875,1.392857,1.459821,181328000,0.98444
1998-12-29,1.46875,1.482143,1.4375,1.457589,96838000,0.982934
1998-12-30,1.433036,1.46875,1.428571,1.430804,59340400,0.964871
1998-12-31,1.446429,1.477679,1.410714,1.462054,67922400,0.985945
1999-01-04,1.504464,1.508929,1.428571,1.473214,238221200,0.993472
1999-01-05,1.497768,1.569196,1.482143,1.546875,352528400,1.043145
1999-01-06,1.575893,1.575893,1.464286,1.491071,337142400,1.005513
1999-01-07,1.508929,1.609375,1.504464,1.607143,357254800,1.083786
1999-01-08,1.662946,1.674107,1.571429,1.607143,169708000,1.083786
1999-01-11,1.633929,1.645089,1.602679,1.638393,140243600,1.10486
1999-01-12,1.654018,1.665179,1.575893,1.647321,205184000,1.110881
1999-01-13,1.53125,1.689732,1.508929,1.660714,261954000,1.119913
1999-01-14,1.625,1.642857,1.466518,1.477679,430964800,0.996482
1999-01-15,1.493304,1.504464,1.428571,1.475446,251501600,0.994976
